"02/06/2018","ACH WEB-SINGLE  BILL #OXAIGI PHILADELPHIA GAS MINT/IPI","$37.68","","$743.39"
"02/06/2018","ACH WEB-SINGLE  CIVKASTAPB PAYPAL           INST XFER","$90.00","","$781.07"
"02/06/2018","ACH WEB-SINGLE  BILL #6AKCVB PECO EXELON      MINT/IPI","$226.84","","$871.07"
"02/06/2018","ACH WEB-SINGLE  CIVKASTAPB PAYPAL           INST XFER","$315.00","","$1,097.91"
"02/06/2018","N0205 8439 PAYMENT    POS00535395  0875677 UBERUS_A                 SAN FRANCISC CA","$2.36","","$1,412.91"
"02/05/2018","ACH WEBSINGLE  XXXXX1883 VENMO            PAYMENT","$9.00","","$1,415.27"
"02/05/2018","ACH WEB-SINGLE  CIVKASTAPB PAYPAL           INST XFER","$10.12","","$1,424.27"
"02/05/2018","ACH WEBSINGLE  XXXXX2537 VENMO            PAYMENT","$28.00","","$1,434.39"
"02/05/2018","N0204 8439 PAYMENT    POS00535395  3308346 UBERUS_A                 SAN FRANCISC CA","$3.78","","$1,462.39"
"02/05/2018","N0203 8439 PAYMENT    POS00535395  3308345 UBERUS_A                 SAN FRANCISC CA","$3.76","","$1,466.17"
"02/05/2018","N0203 8439 PAYMENT    POS00535395  3308347 UBERUS_A                 SAN FRANCISC CA","$3.96","","$1,469.93"
"02/05/2018","DEBIT CARD PURCHASE   XXXXX8439 LYFT   *RIDE FRI 9PM      LYFT.COM    CA","$6.30","","$1,473.89"
"02/05/2018","DEBIT CARD PURCHASE   XXXXX8439 LYFT   *RIDE FRI 8PM      LYFT.COM    CA","$6.29","","$1,480.19"
"02/05/2018","DEBIT CARD PURCHASE   XXXXX8439 SQ *TRAN'S FOOD TRUCK     Philadelphi PA","$8.00","","$1,486.48"
"02/05/2018","DEBIT CARD PURCHASE   XXXXX8439 STARBUCKS STORE 24301     PHILADELPHI PA","$5.02","","$1,494.48"
"02/05/2018","DEPOSIT                              XXXXX3165 ","","$800.00","$1,499.50"
"02/05/2018","ACH CREDIT      XXXXX8500 VENMO            CASHOUT","","$225.00","$699.50"
"02/02/2018","ACH WEB-SINGLE  LYFT PAYPAL           INST XFER","$2.57","","$474.50"
"02/02/2018","DEBIT CARD PURCHASE   XXXXX8439 AMAZON MKTPLACE PMTS W    WWW.AMAZON. WA","$6.99","","$477.07"
"02/02/2018","DEBIT CARD PURCHASE   XXXXX8439 US MOBILE                 XXXXX1488 CT","$3.00","","$484.06"
"02/02/2018","DEBIT CARD PURCHASE   XXXXX8439 AMK DREXEL SBUCKS LEBO    PHILADELPHI PA","$5.02","","$487.06"
"02/02/2018","DEBIT CARD PURCHASE   XXXXX8439 LYFT   *RIDE WED 12PM     LYFT.COM    CA","$2.58","","$492.08"
"02/02/2018","ACH CREDIT      XXXXX0424 VENMO            CASHOUT","","$225.00","$494.66"
"02/01/2018","N0201 8439 PAYMENT    POS00535395  0955957 UBERUS_A                 SAN FRANCISC CA","$3.76","","$269.66"
"02/01/2018","ACH WEB-SINGLE  LYFT PAYPAL           INST XFER","$5.20","","$273.42"
"02/01/2018","N0131 8439 PAYMENT    POS00535395  0955956 UBERUS_A                 SAN FRANCISC CA","$4.76","","$278.62"
"02/01/2018","DEBIT CARD PURCHASE   XXXXX8439 SQ *NY FAMOUS GYRO        Philadelphi PA","$6.59","","$283.38"
"02/01/2018","ACH CREDIT      57PJ2ADHHL3DS PAYPAL           TRANSFER","","$200.00","$289.97"
